05/04/2018 14:00:36:	DIGO: 0

05/04/2018 14:00:37:	STAT

05/04/2018 14:00:37:	DIGO: 0

05/04/2018 14:00:42:	DIGO: 4

05/04/2018 14:00:43:	DIGO: 0

05/04/2018 14:00:47:	DIGO: 8

05/04/2018 14:00:48:	DIGO: 0

05/04/2018 14:00:49:	STAT

05/04/2018 14:00:50:	DIGO: 0

05/04/2018 14:00:54:	DIGO: 4

05/04/2018 14:00:55:	DIGO: 0

05/04/2018 14:00:59:	DIGO: 8

05/04/2018 14:01:00:	DIGO: 0

05/04/2018 14:01:01:	STAT

05/04/2018 14:01:02:	DIGO: 0

05/04/2018 14:01:06:	DIGO: 4

05/04/2018 14:01:07:	DIGO: 0

05/04/2018 14:01:11:	DIGO: 8

05/04/2018 14:01:12:	DIGO: 0

05/04/2018 14:01:13:	STAT

05/04/2018 14:01:14:	DIGO: 0

05/04/2018 14:01:18:	DIGO: 4

05/04/2018 14:01:19:	DIGO: 0

05/04/2018 14:01:23:	DIGO: 8

05/04/2018 14:01:24:	DIGO: 0

05/04/2018 14:01:25:	STAT

05/04/2018 14:01:26:	DIGO: 0

05/04/2018 14:01:30:	DIGO: 4

05/04/2018 14:01:31:	DIGO: 0

05/04/2018 14:01:35:	DIGO: 8

05/04/2018 14:01:36:	DIGO: 0

05/04/2018 14:01:37:	STAT

05/04/2018 14:01:37:	DIGO: 0

05/04/2018 14:01:42:	DIGO: 4

05/04/2018 14:01:43:	DIGO: 0

05/04/2018 14:01:47:	DIGO: 8

05/04/2018 14:01:48:	DIGO: 0

05/04/2018 14:01:49:	STAT

05/04/2018 14:01:50:	DIGO: 0

05/04/2018 14:01:54:	DIGO: 4

05/04/2018 14:01:55:	DIGO: 0

05/04/2018 14:01:59:	DIGO: 8

05/04/2018 14:02:00:	DIGO: 0

05/04/2018 14:02:01:	DIGO: 0

05/04/2018 14:02:05:	DIGO: 4

05/04/2018 14:02:06:	DIGO: 0

05/04/2018 14:02:10:	DIGO: 8

05/04/2018 14:02:12:	DIGO: 0

05/04/2018 14:02:13:	STAT

05/04/2018 14:02:13:	DIGO: 0

05/04/2018 14:02:17:	DIGO: 4

05/04/2018 14:02:18:	DIGO: 0

05/04/2018 14:02:22:	DIGO: 8

05/04/2018 14:02:24:	DIGO: 0

05/04/2018 14:02:25:	STAT

05/04/2018 14:02:25:	DIGO: 0

05/04/2018 14:02:29:	DIGO: 4

05/04/2018 14:02:30:	DIGO: 0

05/04/2018 14:02:35:	DIGO: 8

05/04/2018 14:02:36:	DIGO: 0

05/04/2018 14:02:37:	STAT

05/04/2018 14:02:37:	DIGO: 0

05/04/2018 14:02:41:	DIGO: 4

05/04/2018 14:02:42:	DIGO: 0

05/04/2018 14:02:47:	DIGO: 8

05/04/2018 14:02:48:	DIGO: 0

05/04/2018 14:02:49:	STAT

05/04/2018 14:02:49:	DIGO: 0

05/04/2018 14:02:53:	DIGO: 4

05/04/2018 14:02:54:	DIGO: 0

05/04/2018 14:02:58:	DIGO: 8

05/04/2018 14:03:00:	DIGO: 0

05/04/2018 14:03:01:	STAT

05/04/2018 14:03:01:	DIGO: 0

05/04/2018 14:03:05:	DIGO: 4

05/04/2018 14:03:06:	DIGO: 0

05/04/2018 14:03:10:	DIGO: 8

05/04/2018 14:03:12:	DIGO: 0

05/04/2018 14:03:13:	STAT

05/04/2018 14:03:13:	DIGO: 0

05/04/2018 14:03:17:	DIGO: 4

05/04/2018 14:03:18:	DIGO: 0

05/04/2018 14:03:23:	DIGO: 8

05/04/2018 14:03:24:	DIGO: 0

05/04/2018 14:03:25:	STAT

05/04/2018 14:03:25:	DIGO: 0

05/04/2018 14:03:29:	DIGO: 4

05/04/2018 14:03:30:	DIGO: 0

05/04/2018 14:03:35:	DIGO: 8

05/04/2018 14:03:36:	DIGO: 0

05/04/2018 14:03:37:	STAT

05/04/2018 14:03:37:	DIGO: 0

05/04/2018 14:03:41:	DIGO: 4

05/04/2018 14:03:42:	DIGO: 0

05/04/2018 14:03:47:	DIGO: 8

05/04/2018 14:03:48:	DIGO: 0

05/04/2018 14:03:49:	STAT

05/04/2018 14:03:49:	DIGO: 0

05/04/2018 14:03:53:	DIGO: 4

05/04/2018 14:03:54:	DIGO: 0

05/04/2018 14:03:59:	DIGO: 8

05/04/2018 14:04:00:	DIGO: 0

05/04/2018 14:04:01:	STAT

05/04/2018 14:04:01:	DIGO: 0

05/04/2018 14:04:05:	DIGO: 4

05/04/2018 14:04:06:	DIGO: 0

05/04/2018 14:04:10:	DIGO: 8

05/04/2018 14:04:12:	DIGO: 0

05/04/2018 14:04:13:	STAT

05/04/2018 14:04:13:	DIGO: 0

05/04/2018 14:04:17:	DIGO: 4

05/04/2018 14:04:18:	DIGO: 0

05/04/2018 14:04:22:	DIGO: 8

05/04/2018 14:04:24:	DIGO: 0

05/04/2018 14:04:25:	STAT

05/04/2018 14:04:25:	DIGO: 0

05/04/2018 14:04:29:	DIGO: 4

05/04/2018 14:04:30:	DIGO: 0

05/04/2018 14:04:34:	DIGO: 8

05/04/2018 14:04:36:	DIGO: 0

05/04/2018 14:04:37:	STAT

05/04/2018 14:04:37:	DIGO: 0

05/04/2018 14:04:41:	DIGO: 4

05/04/2018 14:04:42:	DIGO: 0

05/04/2018 14:04:46:	DIGO: 8

05/04/2018 14:04:48:	DIGO: 0

05/04/2018 14:04:49:	STAT

05/04/2018 14:04:49:	DIGO: 0

